Dec  9 02:28:49[6285] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  9 02:28:51[6285] Font(id 0) width(22) is not matched with standard width(18).
Dec  9 02:28:51[6285] Font(id 2d1) width(46) is not matched with standard width(36).
Dec  9 02:28:51[6285] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  9 02:30:32[6285] Font(id 0) width(22) is not matched with standard width(18).
Dec  9 02:30:32[6285] Font(id 2d1) width(46) is not matched with standard width(36).
Dec  9 02:30:32[6285] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  9 13:13:59[3780] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  9 13:14:01[3780] Font(id 0) width(22) is not matched with standard width(18).
Dec  9 13:14:01[3780] Font(id 2d1) width(46) is not matched with standard width(36).
Dec  9 13:14:01[3780] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  9 13:18:21[8095] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  9 13:18:23[8095] Font(id 0) width(22) is not matched with standard width(18).
Dec  9 13:18:23[8095] Font(id 2d1) width(46) is not matched with standard width(36).
Dec  9 13:18:23[8095] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  9 14:15:42[12875] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  9 16:27:47[32762] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  9 16:27:49[32762] Font(id 0) width(22) is not matched with standard width(18).
Dec  9 18:23:07[5385] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  9 18:27:13[7789] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  9 18:27:16[7789] Font(id 0) width(22) is not matched with standard width(18).
